['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['245', 'Robotech Vermillion', '3', '$2.95', 'Antarctic', '6,606']
['246', 'Dark Horse Presents', '127', '$2.95', 'Dark Horse', '6,580']
['247', 'Warrior Nun Black And White', '6', '$2.95', 'Antarctic', '6,580']
['248', 'Scooby-Doo', '7', '$1.95', 'DC', '6,559']
['249', 'Acme Novelty Library', '9', '$4.50', 'Fantagraphics', '6,553']
['250', 'Dork', '5', '$2.95', 'Slave Labor', '6,522']
['251', 'New Bondage Fairies', '14', '$2.95', 'Fantagraphics', '6,464']
['252', 'Mystic Funnies', '1', '$5.95', 'Nincompoop', '6,369']
['253', 'Adventurous Uncle Scrooge Mcdu?', '2', '$1.95', 'Gladstone', '6,238']
['254', 'Imortal Two', '7', '$2.95', 'Image', '6,217']
['255', 'Animaniacs', '34', '$1.95', 'DC', '6,206']
['256', 'Essential Vertigo Swamp Thing', '16', '$2.25', 'DC', '6,174']
['257', 'Man Called A X', '5', '$2.50', 'DC', '6,169']
['258', 'Xero', '10', '$1.95', 'DC', '6,143']
['259', 'Hong On The Range', '1', '$2.95', 'Image', '6,132']
['260', 'Sinthia', '2', '$2.95', 'Lightning', '6,101']
['261', 'Legend Of Mother Sarah City of A?', '2', '$3.95', 'Dark Horse', '5,743']
['262', 'Grendel Devil By The Deed New Pig?', '', '$3.95', 'Dark Horse', '5,680']
['263', 'Uncle Scrooge And Donald Duck', '2', '$1.95', 'Gladstone', '5,648']
['264', 'Badger', '8', '$2.95', 'Image', '5,511']
['265', 'Scare Tactics', '11', '$2.25', 'DC', '5,480']
['266', 'Maison Ikkoku Pt Seven', '6', '$3.25', 'Viz', '5,459']
['267', 'Archie', '469', '$1.75', 'Archie', '5,401']
['268', 'Two Faces Of Tomorrow', '5', '$3.95', 'Dark Horse', '5,395']
['269', 'Espers', '5', '$2.95', 'Image', '5,385']
['270', 'Plastic Little', '5', '$2.95', 'CPM', '5,337']
['271', 'Donald Duck', '307', '$1.95', 'Gladstone', '5,274']
['272', 'Razor Uncut', '43', '$3.00', 'London Night', '5,222']
['273', 'Hypersonic', '2', '$2.95', 'Dark Horse', '5,201']
['274', 'A Distant Soil', '23', '$2.95', 'Image', '5,116']
['275', 'Betty & Veronica', '121', '$1.75', 'Archie', '5,032']
['276', 'Eat-Man', '5', '$2.95', 'Viz', '4,995']
['277', 'Neon Genesis Evangelion Coll Ed.', '4', '$2.95', 'Viz', '4,995']
['278', 'Haunt Of Fear', '22', '$2.50', 'Gemstone', '4,901']
['279', 'Strangers In Paradise Gold Logo Ed,', '5', '$2.75', 'Abstract', '4,869']
['280', 'Nights Into Dreams', '2', '$1.75', 'Archie', '4,853']
['281', 'Looney Tunes', '37', '$1.95', 'DC', '4,843']
['282', 'Betty', '59', '$1.75', 'Archie', '4,722']
['283', 'Mobile Police Patlabor', '6', '$2.95', 'Viz', '4,722']
['284', 'Deity', '4', '$2.95', 'Hyperwerks', '4,632']
['285', 'Darque Razor', '3', '$3.00', 'London Night', '4,569']
['286', 'Redeemers', '1', '$2.95', 'Antarctic', '4,527']
['287', 'Cheryl Blossom', '10', '$1.75', 'Archie', '4,474']
['288', 'Veronica', '73', '$1.75', 'Archie', '4,427']
['289', 'Crime Suspenstories', '22', '$2.50', 'Gemstone', '4,406']
['290', 'Cartoon Network Presents', '7', '$1.95', 'DC', '4,390']
['291', 'Ninja High School', '60', '$2.95', 'Antarctic', '4,311']
['292', 'American Spendor Odds &\nEnds?', '', '$2.95', 'Dark Horse', '4,269']
['293', 'Return Of Lum Pt Four', '5', '$2.95', 'Viz', '4,243']
['294', 'Chi Chian', '2', '$2.95', 'Sirius', '4,237']
['295', 'Soulwind', '6', '$2.95', 'Image', '4,195']
['296', 'New Vampire Miyu', '4', '$2.95', 'Ironcat', '4,185']
['297', 'Chirality', '10', '$2.95', 'CPM', '4,179']
['298', 'Frontline Combat', '11', '$2.50', 'Gemstone', '4,179']
['299', 'Rheintochter', '1', '$2.95', 'Antarctic', '4,169']
['300', 'The God Of Sex2', '1', '$3.50', 'Fantagraphics', '4,137']
