['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['209', 'Knights of Dinner Table', '125', '$4.99', 'Kenzer', '4,796']
['210', 'Bomb Queen III', '2', '$3.50', 'Image', '4,774']
['211', 'Tmnt Movie Prequel 3 Donatello', '3.25', '$3.25', 'Mirage', '4,656']
['212', 'Spider-Man Magazine', '5.99', '$5.99', 'Marvel', '4,644']
['213', 'Tmnt Movie Prequel 5 Leonardo', '3.25', '$3.25', 'Mirage', '4,605']
['214', 'Medieval Lady Death War of Winds', '6', '$3.99', 'Avatar', '4,605']
['215', 'Marvel Adventures: Fantastic Four', '23', '$2.99', 'Marvel', '4,599']
['216', 'Knights of Dinner Table', '126', '$4.99', 'Kenzer', '4,599']
['217', 'TMNT Movie Prequel 4 April', '3.25', '$3.25', 'Mirage', '4,582']
['218', 'Rex Mundi', '5', '$2.99', 'Dark Horse', '4,498']
['219', 'Se7en Lust', '4', '$3.99', 'Zenescope', '4,476']
['220', 'Clive Barkers Great &\nSecret Show', '11', '$3.99', 'IDW', '4,408']
['221', 'Uncle Scrooge', '365', '$7.50', 'Gemstone', '4,408']
['222', 'Scooby Doo', '119', '$2.25', 'DC', '4,369']
['223', 'Xombie', '1', '$3.50', "Devil's Due", '4,178']
['224', 'Devi', '10', '$2.99', 'Virgin', '4,093']
['225', 'Nightly News', '5', '$2.99', 'Image', '4,054']
['226', 'Demonwars Demon Awakens', '2 Cvr A', '$5.50', "Devil's Due", '4,048']
['227', 'Bloodrayne Plague of Dreams', '3', '$3.99', 'Digital Manga', '4,037']
['228', 'Bloodrayne Tibetan Heights', '3.99', '$3.99', 'Digital Manga', '4,020']
['229', 'Secret', '3', '$2.99', 'Dark Horse', '4,015']
['230', 'Love & Rockets Vol. 2', '19', '$4.50', 'Fantagraphics', '3,981']
['231', 'War of Undead', '3', '$3.99', 'IDW', '3,930']
['232', 'Ptolus City By Spire', '6', '$2.99', 'Marvel', '3,908']
['233', 'Star Trek Klingons Blood Tell', '1 Klingon Lang Var Ed', '$4.99', 'IDW', '3,874']
['234', 'Civil War Initiative', '4.99', '$4.99', 'Marvel', '3,655']
['235', 'Walt Disneys Comics &\nStories', '680', '$7.50', 'Gemstone', '3,632']
['236', 'Wasteland', '8 (Note Price)', '$3.50', 'Oni', '3,604']
['237', 'Ramayan 3392 Ad', '8', '$2.99', 'Virgin', '3,486']
['238', 'Blade of Immortal', '124', '$2.99', 'Dark Horse', '3,390']
['239', 'Snakewoman', '10', '$2.99', 'Virgin', '3,345']
['240', 'Hunters Moon', '1', '$3.99', 'Boom', '3,323']
['241', 'Transformers Cybertron Balancing Act', '9.99', '$9.99', 'IDW', '3,250']
['242', 'Sadhu', '7 (Res)', '$2.99', 'Virgin', '2,969']
['243', 'Fantastic Four', '544', '$2.99', 'Marvel', '2,828']
['244', 'Brave & Bold', '2', '$2.99', 'DC', '2,783']
['245', 'Blood Nation', '3', '$2.99', 'Image', '2,744']
['246', 'Hero By Night', '2', '$2.99', 'Image', '2,727']
['247', 'Castle Waiting Vol. II', '6', '$3.95', 'Fantagraphics', '2,705']
['248', 'Unique', '2', '$2.99', 'Image', '2,693']
['249', 'Archie', '574', '$2.25', 'Archie', '2,682']
['250', 'Black Panther', '26', '$2.99', 'Marvel', '2,665']
['251', 'Looney Tunes', '149', '$2.25', 'DC', '2,637']
['252', 'Starship Troopers Damaged Justice', '2', '$3.50', 'Markosia', '2,609']
['253', 'Tales of the TMNT', '32', '$3.25', 'Mirage', '2,553']
['254', 'Dork Tower', '36', '$3.49', 'Dork Storm', '2,519']
['255', 'Sensational Spider-Man', '36', '$2.99', 'Marvel', '2,418']
['256', 'Mr Stuffins', '1', '$3.99', 'Boom', '2,418']
['257', 'Pirates Vs. Ninjas', '4', '$3.50', 'Antarctic', '2,395']
['258', 'Simpsons Classics', '12', '$3.99', 'Bongo', '2,350']
['259', 'Desperadoes Buffalo Dreams', '3', '$3.99', 'IDW', '2,339']
['260', 'Ride Savannah (One Shot)', '4.99', '$4.99', 'Image', '2,328']
['261', 'Betty & Veronica', '226', '$2.25', 'Archie', '2,317']
['262', 'PS238', '22', '$2.99', 'Dork Storm', '2,125']
['263', 'Sabrina Vol. 2', '84', '$2.25', 'Archie', '2,120']
['264', 'Betty', '164', '$2.25', 'Archie', '2,075']
['265', 'Justice Society of America', '4', '$2.99', 'DC', '2,024']
['266', 'Jungle Fantasy Annual', '1', '$4.99', 'Avatar', '2,019']
['267', 'Planetary Brigade Origins', '3', '$3.99', 'Boom', '1,996']
['268', 'Breathe', '1', '$2.99', 'Markosia', '1,917']
['269', 'Nightmares & Fairy Tales', '19', '$2.95', 'Slave Labor', '1,906']
['270', 'Wolverine', '52', '$2.99', 'Marvel', '1,833']
['271', 'Cartoon Network Block Party', '32', '$2.25', 'DC', '1,822']
['272', 'Civil War', '7', '$2.99', 'Marvel', '1,788']
['273', 'Shojo Beat May 07 Vol. 3', '5', '$5.99', 'Viz', '1,766']
['274', 'Brave & Bold', '1', '$2.99', 'DC', '1,754']
['275', 'Cartoon Network Action Pack', '12', '$2.25', 'DC', '1,732']
['276', 'Dynamo 5', '1 New Ptg', '$3.50', 'Image', '1,692']
['277', 'Walk-In', '5', '$2.99', 'Virgin', '1,676']
['278', 'Justice League of America', '6', '$3.50', 'DC', '1,653']
['279', 'Two Guns', '1', '$3.99', 'Boom', '1,642']
['280', 'Tag Cursed', '3', '$3.99', 'Boom', '1,619']
['281', 'Batman', '664', '$2.99', 'DC', '1,608']
['282', 'Archie Double Digest', '178', '$3.69', 'Archie', '1,597']
['283', 'Jughead', '180', '$2.25', 'Archie', '1,586']
['284', 'Ninja High School', '148', '$2.99', 'Antarctic', '1,563']
['285', 'A G Super Erotic Anthology', '55', '$4.99', 'Icarus', '1,546']
['286', 'A G Super Erotic Anthology', '56', '$4.99', 'Icarus', '1,524']
['287', 'Maintenance', '3', '$3.50', 'Oni', '1,512']
['288', 'Super F---ers', '4', '$5.00', 'Top Shelf', '1,507']
['289', 'Betty & Veronica Digest', '174', '$2.49', 'Archie', '1,501']
['290', 'Pandora Annual', '1', '$4.99', 'Avatar', '1,490']
['291', '52', '47', '$2.50', 'DC', '1,473']
['292', 'Marvel Zombies', '2', '$2.99', 'Marvel', '1,468']
['293', 'Archie Pals N Gals Double Digest', '111', '$3.69', 'Archie', '1,462']
['294', 'New Avengers', '10 Sal Buscema Var', '$2.50', 'Marvel', '1,445']
['295', 'Civil War', '3', '$2.99', 'Marvel', '1,434']
['296', 'Captain America', '22', '$2.99', 'Marvel', '1,400']
['297', 'Lost Squad', '6', '$2.99', "Devil's Due", '1,400']
['298', 'Marvel Zombies', '1', '$2.99', 'Marvel', '1,394']
['299', 'Negative Burn', '10', '$5.99', 'Image', '1,372']
['300', 'Genus', '82', '$3.50', 'Radio', '1,355']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', 'Trade Paperback title', '', 'Price', 'Publisher', 'Est. sales']
['1', 'Civil War', '', '$24.99', 'Marvel', '19,196']
['2', 'Civil War Amazing Spider-Man', '', '$17.99', 'Marvel', '9,424']
['3', 'Civil War Front Line Book 1', '', '$14.99', 'Marvel', '7,574']
['4', 'Civil War Fantastic Four', '', '$17.99', 'Marvel', '6,820']
['5', 'All Star Superman Vol. 1 HC', '', '$19.99', 'DC ', '6,668']
['6', 'Fruits Basket Vol. 16', '', '$9.99', 'Tokyopop', '6,573']
['7', 'Civil War X-Men', '', '$11.99', 'Marvel', '6,191']
['8', 'Civil War Thunderbolts', '', '$13.99', 'Marvel', '5,836']
['9', 'Runaways Vol. 7 Live Fast Digest', '', '$7.99', 'Marvel', '5,415']
['10', 'Spider-Man Reign Premiere HC', '', '$19.99', 'Marvel', '5,274']
['11', 'Showcase\nPresents Legion of Super-Heroes Vol. 1', '$16.99', 'DC ', '4,807']
['12', 'Batman Detective', '', '$14.99', 'DC ', '4,712']
['13', 'Heroes For Hire Vol. 1 Civil War', '', '$13.99', 'Marvel', '4,639']
['14', 'Wolverine Origins Vol. 1 Born In\nBlood', '', '$13.99', 'Marvel', '4,543']
['15', 'Death Note Vol. 11 ', '', '$7.99', 'Viz', '4,498']
['16', 'Showcase Presents Superman Vol. 3', '', '$16.99', 'DC ', '4,419']
['17', 'Daredevil Devil Inside &\nOut Vol. 2', '', '$14.99', 'Marvel', '4,335']
['18', 'God Save The Queen HC', '', '$19.99', 'DC ', '4,239']
['19', 'Essential Spider-Man Vol. 8', '', '$16.99', 'Marvel', '4,189']
['20', 'Bleach Vol. 18 ', '', '$7.95', 'Viz', '4,166']
['21', '300 HC', '', '$30.00', 'Dark Horse', '4,071']
['22', 'Punisher Max Vol. 7 Man of Stone', '', '$15.99', 'Marvel', '4,015']
['23', 'Fullmetal Alchemist Vol. 13 ', '', '$9.99', 'Viz', '3,823']
['24', 'Batman & Mad Monk', '', '$14.99', 'DC ', '3,750']
['25', 'Young Avengers Vol. 2 Family Matters', '', '$17.99', 'Marvel', '3,700']
['26', 'Hellblazer Reasons To Be Cheerful', '', '$14.99', 'DC ', '3,419']
['27', 'Punisher War\nJournal Vol. 1 Civil War Prem HC', '$19.99', 'Marvel', '3,177']
['28', 'Wonder Woman Greatest Stories Ever\nTold', '', '$19.99', 'DC ', '3,160']
['29', 'Ultimate Spider-Man Clone Saga Prem\nHC', '', '$29.99', 'Marvel', '3,137']
['30', 'Spider-Man Black Cat Evil That Men\nDo', '', '$14.99', 'Marvel', '3,104']
['31', 'Absolute Batman Long Halloween HC', '', '$75.00', 'DC ', '3,070']
['32', 'Oh My Goddess Vol. 26 ', '', '$10.95', 'Dark Horse', '3,047']
['33', 'Sensational Spider-Man Feral', '', '$13.99', 'Marvel', '3,036']
['34', 'Sgt Rock Prophecy', '', '$17.99', 'DC ', '2,862']
['35', 'Path of the Assassin Vol. 6 ', '', '$9.95', 'Dark Horse', '2,845']
['36', 'Amazing Spider-Man Omnibus Vol. 1 HC', '', '$99.99', 'Marvel', '2,806']
['37', 'Cable Deadpool\nVol. 6 Paved with Good Intentions', '$14.99', 'Marvel', '2,761']
['38', 'Jonah Hex Vol. 2 Guns of Vengeance', '', '$12.99', 'DC ', '2,727']
['39', 'Supergirl & Legion of\nSuper-Heroes Vol. 4', '', '$14.99', 'DC ', '2,699']
['40', 'Annihilation Book 2 HC', '', '$29.99', 'Marvel', '2,682']
['41', 'Battle Vixens Vol. 11', '', '$9.99', 'Tokyopop', '2,603']
['42', 'Marvel\nMasterworks Invincible Iron Man Vol. 4 New Ed HC', '$54.99', 'Marvel', '2,513']
['43', 'Walking Dead Vol. 6 Sorrowful Life ', '', '$12.99', 'Image', '2,508']
['44', 'Crisis Aftermath Spectre', '', '$12.99', 'DC ', '2,328']
['45', 'Inu Yasha Vol. 29 ', '', '$8.95', 'Viz', '2,328']
['46', 'Spawn Coll Vol. 3', '', '$29.95', 'Image', '2,311']
['47', 'Alpha Flight Classic Vol. 1', '', '$24.99', 'Marvel', '2,204']
['48', 'Sandman Mystery Theatre Vol. 5 Dr\nDeath', '', '$19.99', 'DC ', '2,176']
['49', 'Complete Peanuts Vol. 7 1963-1964\nHC ', '', '$28.95', 'Fantagraphics', '2,165']
['50', 'Watchmen', '', '$19.99', 'DC ', '2,159']
['51', 'Fullmetal Alchemist Vol. 12 ', '', '$9.99', 'Viz', '2,103']
['52', 'Neon Genesis Evangelion Vol. 10 ', '', '$9.99', 'Viz', '2,097']
['53', 'Civil War Road To Civil War', '', '$14.99', 'Marvel', '1,957']
['54', 'American Splendor Another Day', '', '$14.99', 'DC ', '1,917']
['55', 'Will Eisners Spirit Archives Vol.\n21 HC', '', '$49.99', 'DC ', '1,906']
['56', 'One Piece Vol. 14 ', '', '$7.95', 'Viz', '1,805']
['57', 'Chibi Vampire Vol. 4', '', '$9.99', 'Tokyopop', '1,788']
['58', 'Agents of Atlas Prem HC', '', '$24.99', 'Marvel', '1,737']
['59', 'Ec Archives Weird Science Vol. 2 HC\n      ', '', '$49.95', 'Gemstone', '1,676']
['60', 'Doomed Presents Ashley Wood', '', '$7.99', 'IDW', '1,642']
['61', 'Saiyuki Reload Vol. 7', '', '$9.99', 'Tokyopop', '1,619']
['62', 'Hawkgirl Maw', '', '$17.99', 'DC ', '1,614']
['63', 'Genshiken Vol. 8', '', '$10.95', 'Random House', '1,608']
['64', 'Prey Origin of thehe Species', '', '$10.99', 'Marvel', '1,552']
