['\n', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['210', 'Spongebob Comics', '3', '$2.99', 'United Plankton', '8,514']
['211', 'Fathom Primer', '1', '$1.00', 'Aspen', '8,508']
['212', 'Terry Moores Echo', '30', '$3.50', 'Abstract', '8,340']
['213', 'Fathom Vol. 4', '0 Cvr A Konat', '$2.50', 'Aspen', '8,317']
['214', 'Sweet Tooth', '22', '$2.99', 'DC', '8,252']
['215', 'Fly', '1 A Cvr Ebas', '$2.99', 'Zenescope', '8,148']
['216', 'Grimm Fairy Tales', '60', '$2.99', 'Zenescope', '8,143']
['217', 'Infestation Outbreak', '1', '$3.99', 'IDW', '8,098']
['218', 'John Byrne Next Men', '7', '$3.99', 'IDW', '8,090']
['219', 'Tiny Titans', '41', '$2.99', 'DC', '7,811']
['220', 'Incorruptible', '19', '$3.99', 'Boom', '7,804']
['221', 'Planet of The Apes', '3', '$3.99', 'Boom', '7,804']
['222', 'Mega Man', '2', '$2.99', 'Archie', '7,713']
['223', 'Suicide Girls', '3', '$3.99', 'IDW', '7,649']
['224', 'Incredible Hulk & Human\nTorch From Marvel Vault', '1', '$2.99', 'Marvel', '7,616']
['225', 'GFT Myths & Legends', '6', '$2.99', 'Zenescope', '7,612']
['226', 'Doctor Who Ongoing Vol. 2', '6', '$3.99', 'IDW', '7,580']
['227', 'GFT Myths & Legends', '5 A Cvr Rhandolph', '$2.99', 'Zenescope', '7,578']
['228', 'Godzilla Kingdom of Monsters', '4', '$3.99', 'IDW', '7,570']
['229', 'Xombi', '4', '$2.99', 'DC', '7,500']
['230', 'Transformers Heart of Darkness', '4', '$3.99', 'IDW', '7,431']
['231', 'Samurais Blood', '1', '$1.00', 'Image', '7,312']
['232', 'Green Hornet Year One', '10', '$3.99', 'Dynamic Forces', '7,300']
['233', 'Queen Sonja', '17', '$3.99', 'Dynamic Forces', '7,241']
['234', '30 Days of Night Night Again', '2', '$3.99', 'IDW', '7,055']
['235', 'Soulfire Vol. 3', '1 Cvr A Fabok', '$2.99', 'Aspen', '7,048']
['236', 'Magdalena', '7 Cvr A Cha', '$3.99', 'Image', '6,968']
['237', 'Northlanders', '41', '$2.99', 'DC', '6,954']
['238', 'Executive Assistant Iris Vol. 2', '0 Cvr A Francisco', '$2.50', 'Aspen', '6,929']
['239', 'Sonic Universe', '29', '$2.99', 'Archie', '6,917']
['240', 'Simpsons Comics', '179', '$2.99', 'Bongo', '6,913']
['241', 'Wonderland GFT Dream Eater One Shot', '\n', '$3.99', 'Zenescope', '6,913']
['242', 'Doc Savage', '15', '$2.99', 'DC', '6,902']
['243', 'Anita Blake Circus of Damned Ingenue', '4', '$3.99', 'Marvel', '6,893']
['244', 'GFT Piper Dream Eater Crossover', '\n', '$2.99', 'Zenescope', '6,877']
['245', 'GFT Wonderland Annual 2011 A Cvr\nChen', '\n', '$5.99', 'Zenescope', '6,869']
['246', 'Captain America Rebirth', '1', '$4.99', 'Marvel', '6,780']
['247', 'House of Mystery', '38', '$2.99', 'DC', '6,763']
['248', 'Neverland GFT Dream Eater One Shot', '\n', '$2.99', 'Zenescope', '6,701']
['249', 'Spirit', '15', '$2.99', 'DC', '6,693']
['250', 'All New Batman The Brave And The\nBold', '8', '$2.99', 'DC', '6,645']
['251', 'Death of Zorro', '4', '$3.99', 'Dynamic Forces', '6,634']
['252', 'Caligula', '2', '$3.99', 'Avatar', '6,543']
['253', 'Scalped', '50', '$2.99', 'DC', '6,471']
['254', 'Last Phantom', '7', '$3.99', 'Dynamic Forces', '6,470']
['255', 'Death of Zorro', '5', '$3.99', 'Dynamic Forces', '6,370']
['256', 'Turf', '5', '$2.99', 'Image', '6,361']
['257', 'Scalped', '49', '$2.99', 'DC', '6,333']
['258', 'Captain America Americas Avenger', '1', '$4.99', 'Marvel', '6,311']
['259', 'Kevin Smith Kato', '10', '$3.99', 'Dynamic Forces', '6,297']
['260', 'Hack Slash Meets Zombies Vs\nCheerleaders', '1', '$3.99', 'Moonstone', '6,293']
['261', 'Creepy Comics', '6', '$4.99', 'Dark Horse', '6,210']
['262', 'Darkness', '91', '$2.99', 'Image', '6,207']
['263', 'Red Sonja Blue One Shot', '\n', '$4.99', 'Dynamic Forces', '6,138']
['264', 'Hack Slash Eva Monsters Ball', '2', '$3.99', 'Dynamic Forces', '6,093']
['265', 'Doctor Who Fairytale Life', '3', '$3.99', 'IDW', '6,068']
['266', 'Butcher Baker Righteous Maker', '4', '$2.99', 'Image', '6,016']
['267', 'Veronica', '207', '$2.99', 'Archie', '5,913']
['268', 'Empowered Special', '2 10 Questions For Maidman', '$3.50', 'Dark Horse', '5,898']
['269', 'Red Sonja Revenge of the Gods', '4', '$3.99', 'Dynamic Forces', '5,866']
['270', 'DMZ', '66', '$2.99', 'DC', '5,825']
['271', 'Transformers 3 Movie Adaptation', '1', '$3.99', 'IDW', '5,787']
['272', 'Darkwing Duck', '13', '$3.99', 'Boom', '5,708']
['273', 'Solomon Kane Red Shadows', '3 Guy Davis Cvr', '$3.50', 'Dark Horse', '5,644']
['274', 'Hulk-Sized Mini-Hulks', '1', '$2.99', 'Marvel', '5,619']
['275', 'True Blood Tainted Love', '5', '$3.99', 'IDW', '5,607']
['276', 'Bart Simpson Comics', '60', '$2.99', 'Bongo', '5,589']
['277', 'Amazing Spider-Man Ghost Rider\nMotorstorm', '1', '$2.99', 'Marvel', '5,588']
['278', 'Transformers 3 Movie Adaptation', '2', '$3.99', 'IDW', '5,474']
['279', 'Shinku', '1', '$2.99', 'Image', '5,445']
