['\n', 'Comic-book\nTitle', 'Issue', 'Price', 'Publisher', 'Est. sales']
['253', 'House of Gold & Bones', '3', '$3.99', 'Dark Horse', '6,222']
['254', 'Spongebob Comics Annual Giant Swimtacular', '1', '$4.99', 'United Plankton', '6,137']
['255', 'Kiss Solo', '4', '$3.99', 'IDW', '6,048']
['256', 'Vampirella', '30', '$3.99', 'Dynamic Forces', '5,995']
['257', 'Occupy Comics', '2', '$3.50', 'Black Mask', '5,760']
['258', 'X-Men', '1', '$3.99', 'Marvel', '5,664']
['259', 'Screwed', '1', '$2.99', 'Zenescope', '5,656']
['260', 'Mind Mgmt', '12', '$3.99', 'Dark Horse', '5,630']
['261', 'Great Pacific', '7', '$2.99', 'Image', '5,610']
['262', 'Fathom Elite Saga', '1', '$3.99', 'Aspen', '5,499']
['263', 'Prophet', '36', '$3.99', 'Image', '5,412']
['264', 'Grimm Fairy Tales Annual 2013', '\n', '$5.99', 'Zenescope', '5,396']
['265', 'All New Secret Skullkickers', '1', '$3.50', 'Image', '5,346']
['266', 'Superman Unchained', '1 Combo Pack', '$5.99', 'DC', '5,336']
['267', 'Liberator', '1', '$3.50', 'Black Mask', '5,266']
['268', 'Bart Simpson Comics', '84', '$2.99', 'Bongo', '5,240']
['269', 'Red Sonja', '77', '$3.99', 'Dynamic Forces', '5,212']
['270', 'Jirni', '3', '$3.99', 'Aspen', '5,184']
['271', 'Tmnt Color Classics', '11', '$3.99', 'IDW', '5,169']
['272', 'Artifacts', '28', '$3.99', 'Image', '5,150']
['273', 'Red Sonja Unchained', '3', '$3.99', 'Dynamic Forces', '5,146']
['274', 'Grimm Fairy Tales Demons Unseen', '1', '$3.99', 'Zenescope', '5,142']
['275', 'Grimm Fairy Tales Unleashed Vampires Eternal', '3', '$3.99', 'Zenescope', '5,090']
['276', 'Marvel Universe Ultimate Spider-Man', '15', '$2.99', 'Marvel', '5,054']
['277', 'Sergio Aragones Funnies', '8', '$3.50', 'Bongo', '5,054']
['278', 'Last of Us American Dreams', '3', '$3.99', 'Dark Horse', '5,014']
['279', 'Fathom Elite Saga', '2', '$3.99', 'Aspen', '5,011']
['280', 'Peanuts Vol. 2', '9', '$3.99', 'Boom', '4,996']
['281', 'Dream Thief', '2', '$3.99', 'Dark Horse', '4,984']
['282', 'Fashion Beast', '10', '$3.99', 'Avatar', '4,977']
['283', 'Half Past Danger', '2', '$3.99', 'IDW', '4,967']
['284', 'Dark Horse Presents', '25', '$7.99', 'Dark Horse', '4,888']
['285', 'Scooby Doo Where Are You', '34', '$2.99', 'DC', '4,881']
['286', 'My Little Pony Color Me Treasury Ed', '\n', '$9.99', 'IDW', '4,810']
['287', 'The Lone Ranger', '15', '$3.99', 'Dynamic Forces', '4,771']
['288', 'Marvel Universe Avengers Earths Heroes', '15', '$2.99', 'Marvel', '4,744']
['289', 'Empowered Special', '4', '$3.99', 'Dark Horse', '4,720']
['290', 'True Blood Ongoing', '14', '$3.99', 'IDW', '4,718']
['291', 'Grimm Fairy Tales Hunters Shadowlands', '2', '$2.99', 'Zenescope', '4,698']
['292', 'Grimm Fairy Tales Jungle Book Last of the\nSpecies', '4', '$3.99', 'Zenescope', '4,690']
['293', 'Miniature Jesus', '3', '$3.99', 'Image', '4,661']
['294', 'Darkness', '113', '$2.99', 'Image', '4,576']
['295', 'Charismagic Vol. 2', '2', '$3.99', 'Aspen', '4,445']
['296', 'Dungeons & Dragons Cutter', '3', '$3.99', 'IDW', '4,444']
