['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Fallen Son:\nDeath of Captain America: Captain America', '$2.99', 'Marvel', '169,972']
['245', 'Alien Pig Farm', '1', '$2.99', 'Image', '4,549']
['246', 'Battle Pope', '14', '$3.50', 'Image', '4,397']
['247', 'Justice League of America', '1', '$3.99', 'DC', '4,373']
['248', 'Shonen Jump', '54', '$4.99', 'Viz', '4,365']
['249', 'Scooby Doo', '120', '$2.25', 'DC', '4,341']
['250', 'Uncle Scrooge', '366', '$7.50', 'Gemstone', '4,309']
['251', 'Ashley Woods D Airain Aventure', '2', '$4.99', 'IDW', '4,309']
['252', 'Clive Barkers Great &\nSecret Show', '12', '$3.99', 'IDW', '4,309']
['253', 'Scarface Scarred For Life', '5', '$3.99', 'IDW', '4,269']
['254', 'Justice Society of America', '5', '$2.99', 'DC', '4,205']
['255', 'India Authentic Ganesha', '1', '$2.99', 'Virgin', '4,189']
['256', 'PVP', '33', '$2.99', 'Image', '4,181']
['257', 'Se7en Pride', '5', '$3.99', 'Zenescope', '4,157']
['258', 'PVP', '32', '$2.99', 'Image', '4,149']
['259', 'Devi', '11', '$2.99', 'Virgin', '4,133']
['260', 'Lady Death Masterworks', '', '$4.99', 'Avatar', '3,901']
['261', 'Betty & Veronica Double\nDigest', '151', '$3.69', 'Archie', '3,853']
['262', 'Secret', '4', '$2.99', 'Dark Horse', '3,781']
['263', 'Godland', '18', '$2.99', 'Image', '3,716']
['264', 'City of Heroes', '19', '$2.99', 'Image', '3,708']
['265', 'Sidekick', '5', '$3.50', 'Image', '3,684']
['266', 'Red Prophet Tales of Alvin Maker', '7', '$2.99', 'Marvel', '3,676']
['267', 'Walt Disneys Comics &\nStories', '681', '$7.50', 'Gemstone', '3,660']
['268', 'Demonwars Demon Awakens', '3', '$5.50', "Devil's Due", '3,596']
['269', 'Ride Die Valkyrie', '1', '$2.99', 'Image', '3,588']
['270', 'Justice League of America', '2', '$2.99', 'DC', '3,556']
['271', 'Dominion', '1', '$3.99', 'Boom', '3,540']
['272', 'Wasteland', '9', '$3.50', 'Oni', '3,540']
['273', 'Death Jr Vol. 2', '3', '$4.99', 'Image', '3,444']
['274', 'Blade of Immortal', '125', '$2.99', 'Dark Horse', '3,388']
['275', 'Walt Disneys Vacation Parade', '4', '$9.95', 'Gemstone', '3,380']
['276', 'Noble Causes', '29', '$3.50', 'Image', '3,364']
['277', 'Amazing Spider-Man', '539', '$2.99', 'Marvel', '3,356']
['278', 'Xombie', '2', '$3.50', "Devil's Due", '3,284']
['279', 'Phonogram', '6', '$3.50', 'Image', '3,276']
['280', 'Phantom', '16', '$3.50', 'Moonstone', '3,268']
['281', 'Ward of State', '1', '$3.50', 'Image', '3,268']
['282', 'Transformers Cover Gallery Bk 2', '', '$3.99', 'IDW', '3,196']
['283', '52', '50', '$2.50', 'DC', '3,140']
['284', 'Tales of themnt', '34', '$3.25', 'Mirage', '3,116']
['285', 'Okko Cycle of Water', '3', '$3.95', 'Archaia', '3,100']
['286', 'World War III\nPart Three Hell I/For Heroes', '$2.50', 'DC', '3,100']
['287', 'World War III Part Two Valiant', '', '$2.50', 'DC', '3,100']
['288', 'Looney Tunes', '150', '$2.25', 'DC', '3,092']
['289', 'Gold Digger', '84', '$2.95', 'Antarctic', '3,092']
['290', 'Plague of the Living Dead', '1 Var Cvr', '$2.99', 'Avatar', '3,092']
['291', 'Gold Digger', '85', '$2.95', 'Antarctic', '3,092']
['292', 'New Avengers Illuminati Secret\nHistory', '', '$3.99', 'Marvel', '3,076']
['293', 'War Angel', '0', '$2.99', 'Avatar', '3,020']
['294', 'Drawing From Life', '1', '$3.50', 'Image', '2,932']
['295', 'Fantastic Four', '545', '$2.99', 'Marvel', '2,875']
['296', 'Mighty Avengers', '2', '$2.99', 'Marvel', '2,843']
['297', 'Tales of the TMNT', '33', '$3.25', 'Mirage', '2,835']
['298', 'Amazons Attack', '1', '$2.99', 'DC', '2,827']
['299', 'Killer', '4', '$3.95', 'Archaia', '2,827']
['300', 'Outer Orbit', '4', '$2.99', 'Dark Horse', '2,811']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', 'Trade Paperback title', '', 'Price', 'Publisher', 'Est. sales']
['1', 'Y The Last Man Vol. 9 Motherland', '', '$14.99', 'DC', '12,960']
['2', 'Walking Dead Sorrowful Life Vol. 6', '', '$12.99', 'Image', '12,423']
['3', 'Civil War Captain America', '', '$11.99', 'Marvel', '10,020']
['4', 'Civil War Wolverine', '', '$17.99', 'Marvel', '8,851']
['5', '52 Vol. 1', '', '$19.99', 'DC', '8,755']
['6', 'Civil War', '', '$24.99', 'Marvel', '8,586']
['7', 'Civil War Front Line Book 2', '', '$14.99', 'Marvel', '8,154']
['8', 'Mouse Guard Vol. 1 Fall 1152 HC ', '', '$24.95', 'Archaia', '7,601']
['9', 'Civil War Peter Parker Spider-Man', '', '$17.99', 'Marvel', '7,569']
['10', 'Boys Vol. 1', '', '$14.99', 'Dynamic', '7,337']
['11', 'Civil War Young Avengers &\nRunaways', '', '$11.99', 'Marvel', '6,952']
['12', 'Ultimate X-Men Vol. 16 Cable', '', '$14.99', 'Marvel', '6,944']
['13', 'Civil War X-Men Universe', '', '$13.99', 'Marvel', '6,840']
['14', 'Civil War War Crimes', '', '$17.99', 'Marvel', '6,424']
['15', 'Marvel Zombies HC', '', '$19.99', 'Marvel', '6,304']
['16', 'Civil War Companion', '', '$13.99', 'Marvel', '6,159']
['17', 'Black Panther Civil War', '', '$17.99', 'Marvel', '6,071']
['18', 'Plain Janes', '', '$9.99', 'DC', '6,047']
['19', 'Naruto Vol. 14 ', '', '$7.95', 'Viz', '5,855']
['20', 'Eternals By Neil Gaiman HC', '', '$29.99', 'Marvel', '5,382']
['21', 'Fell Vol. 1 Feral City', '', '$14.99', 'Image', '4,934']
['22', 'Showcase Presents Flash Vol. 1', '', '$16.99', 'DC', '4,774']
['23', 'Superman Batman Vs Aliens Predators', '', '$12.99', 'DC', '4,357']
['24', 'Batman Chronicles Vol. 3', '', '$14.99', 'DC', '4,037']
