['300', 'Bipolar', '3', '$2.95', 'Alternative', '1,113']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', '', '', '', '', '']
['', 'Top-Selling Trade Paperbacks', '', '', '', '']
['', '', '', '', '', '']
['', 'Trade Paperback title', '', 'Price', 'Publisher', 'Est. sales']
['1', 'Lone Wolf & Cub Vol. 27\nBattles Eve', '', '$9.95', 'Dark Horse', '13,909']
['2', 'Vampires Christmas', '', '$5.95', 'Image', '12,784']
['3', 'Ultimate Spider-Man Vol. 4', '', '$14.99', 'Marvel', '8,406']
['4', 'Tellos Sons & Moons (Res)', '', '$5.95', 'Image', '7,426']
['5', 'Reveal Vol. 1', '', '$6.95', 'Dark Horse', '7,414']
['6', 'Dark Knight Strikes Again HC', '', '$29.95', 'DC', '6,858']
['7', 'Authority Transfer Of Power', '', '$17.95', 'DC', '6,471']
['8', 'Ultimate X-Men Vol. 3 World Tour\n(O/A)', '', '$17.99', 'Marvel', '5,600']
['9', 'Transmetropolitan Vol. 7 Spiders\nThrash', '', '$14.95', 'DC', '5,297']
['10', 'Alan Moore Magic Words Vol. 1', '', '$6.95', 'Avatar', '5,068']
['11', 'Sandman Presents Furies HC', '', '$24.95', 'DC', '4,947']
['12', 'Danger Girl Ultimate Coll', '', '$19.95', 'DC', '4,910']
['13', 'JLA A League Of One', '', '$14.95', 'DC', '4,148']
['14', 'JLA Vol. 9 Terra Incognita', '', '$12.95', 'DC', '3,943']
['15', 'Batman Dark Knight Returns HC New Ed', '', '$24.95', 'DC', '3,628']
['16', 'Astro Boy Vol. 9', '', '$9.95', 'Dark Horse', '3,628']
['17', 'Classic Star Wars Long Time Ago\nVol. 3', '', '$29.95', 'Dark Horse', '3,604']
['18', 'Incredible Hulk Vol. 1 HC', '', '$29.99', 'Marvel', '3,483']
['19', 'Star Wars Jango Fett Open Seasons', '', '$12.95', 'Dark Horse', '3,471']
['20', 'Love Hina Vol. 7', '', '$9.99', 'Tokyopop', '3,447']
['21', 'Sojourn Vol. 2 Dragons Tale', '', '$15.95', 'Crossgen', '3,411']
['22', 'Oh My Goddess Queen Sayoko', '', '$16.95', 'Dark Horse', '3,314']
['23', 'Tank Girl Vol. 3', '', '$14.95', 'Titan', '3,229']
['24', 'Forge #7', '', '$11.95', 'Crossgen', '2,987']
['25', 'Edge #7', '', '$11.95', 'Crossgen', '2,915']
['26', 'Archies Classic Christmas Stories\nVol. 1', '', '$10.95', 'Archie', '2,878']
['27', 'Daredevil Elektra Love &\nWar HC', '', '$29.99', 'Marvel', '2,866']
['28', 'Batman Dynamic Duo Archives Vol. 1\nHC', '', '$49.95', 'DC', '2,866']
['29', 'Dead To Rights', '', '$5.95', 'Dark Horse', '2,854']
['30', 'Infinity Abyss', '', '$17.99', 'Marvel', '2,721']
['31', 'Birds Of Prey New Ed', '', '$17.95', 'DC', '2,697']
['32', 'Path Vol. 1 Crisis Of Faith', '', '$19.95', 'Crossgen', '2,612']
['33', 'Cage HC', '', '$19.99', 'Marvel', '2,612']
['34', 'Shazam Archives Vol. 3 HC', '', '$49.95', 'DC', '2,540']
['35', 'Blood Last Vampire 2002', '', '$15.95', 'Viz', '2,491']
['36', 'Resident Evil Code Veronica Vol. 3', '', '$14.95', 'DC', '2,358']
['37', 'Fushigi Yugi Vol. 7 Castaway', '', '$15.95', 'Viz', '2,286']
['38', 'Tomb Raider Witchblade Trouble\nSeekers', '', '$7.95', 'Image', '2,129']
['39', 'Dragonball Z Vol. 10', '', '$12.95', 'Viz', '2,117']
['40', 'GTO Vol. 7', '', '$9.99', 'Tokyopop', '2,080']
['41', 'Star Trek TNG Forgiveness', '', '$17.95', 'DC', '2,056']
['42', 'Negation Vol. 1 Bohica', '', '$19.95', 'Crossgen', '2,044']
['43', 'Avengers Kang Dynasty', '', '$29.99', 'Marvel', '2,032']
['44', 'Marvel Mangaverse Vol. 2', '', '$12.99', 'Marvel', '1,947']
['45', 'Marmalade Boy Vol. 4', '', '$9.99', 'Tokyopop', '1,935']
['46', 'Groo Death & Taxes', '', '$12.95', 'Dark Horse', '1,899']
['47', 'Vampire The Masquerade Calebros', '', '$5.95', 'Moonstone', '1,838']
['48', 'Superman Batman Worlds Finest New Ed', '', '$14.95', 'DC', '1,790']
['49', 'Al Williamson Hidden Lands', '', '$22.95', 'Dark Horse', '1,693']
['50', 'Angelic Layer Vol. 3', '', '$9.99', 'Tokyopop', '1,693']
