['14', 'Ranma 1/2 Vol. 20', '', '$15.95', 'Viz', '3,574']
['15', 'Road To Perdition New Ed', '', '$13.95', 'DC', '3,337']
['16', 'Forge #4', '', '$11.95', 'Crossgen', '3,320']
['17', 'Daredevil Underboss', '', '$14.99', 'Marvel', '3,320']
['18', 'Oh My Goddess! Leader of the Pack', '', '$13.95', 'Dark Horse', '3,235']
['19', 'Edge #4', '', '$11.95', 'Crossgen', '3,207']
['20', 'Cowboy Bebop Vol. 3', '', '$9.99', 'Tokyopop', '3,128']
['21', 'Out There Vol. 1 Evil Within', '', '$12.95', 'DC', '3,072']
['22', 'League Of Extraordinary Gentlemen HC', '', '$24.95', 'DC', '2,925']
['23', 'All Star Comics Archives Vol. 8 HC', '', '$49.95', 'DC', '2,858']
['24', 'Strangers In\nParadise Vol. 11 Brave New World', '$8.95', 'Abstract', '2,852']
['25', 'Conan Sketchbook By Markhultz', '', '$5.95', 'Wandering Star', '2,644']
['26', 'Love Hina Vol. 4', '', '$9.99', 'Tokyopop', '2,559']
['27', 'Wolverine Best There Is', '', '$12.99', 'Marvel', '2,491']
['28', 'Quimby The Mouse (Res)', '', '$14.95', 'Fantagraphics', '2,305']
['29', 'Star Wars Darkness', '', '$12.95', 'Dark Horse', '2,294']
['30', 'X-Men & Spider-Man Savage\nLand', '', '$9.95', 'Marvel', '2,260']
['31', 'Dragonball Z Vol. 9', '', '$12.95', 'Viz', '2,243']
['32', 'Elektra Lives Again HC New Prtg', '', '$24.99', 'Marvel', '2,193']
['33', 'Promethea Book Three HC', '', '$24.95', 'DC', '2,187']
['34', 'Meridian Vol. 3 Taking Skies', '', '$15.95', 'Crossgen', '2,159']
['35', 'Tomb Raider Vol. 3 Chasing Shangri\nLa', '', '$12.95', 'Image', '2,136']
['36', 'Gundam Origin #2', '', '$7.95', 'Viz', '2,119']
['37', 'Mad Archives Vol. 1 HC', '', '$49.95', 'DC', '2,012']
['38', 'Wish Vol. 1', '', '$9.99', 'Tokyopop', '1,945']
['39', 'Punisher War Zone Vol. 1', '', '$15.99', 'Marvel', '1,894']
['40', 'X-Men Evolution Vol. 1', '', '$8.99', 'Marvel', '1,866']
['41', 'Cardcaptor Sakura Vol. 1 Passages', '', '$9.99', 'Tokyopop', '1,849']
['42', 'Bastard Vol. 1', '', '$14.95', 'Viz', '1,725']
['43', 'Werewolf Apocalypse Children Of Gaia', '', '$6.95', 'Moonstone', '1,691']
['44', 'Transformers Vol. 4 Matrix Quest Px\nHC', '', '$24.99', 'Titan', '1,685']
['45', 'Violent Messiahs Vol. 1 Book Of Job', '', '$24.95', 'Image', '1,668']
['46', '3 X 3 Eyes Summoning of the Beast', '', '$14.95', 'Dark Horse', '1,668']
['47', 'Revolutionary Girl Utena Vol. 2 To\nPlant', '', '$15.95', 'Viz', '1,646']
['48', 'Buffy the\nVampire Slayer Ugly Little Monsters', '$12.95', 'Dark Horse', '1,635']
['49', 'Seraphic Feather Seeds Of Chaos', '', '$17.95', 'Dark Horse', '1,623']
['50', 'GTO Vol. 5', '', '$9.99', 'Tokyopop', '1,601']
