['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', "Superman: The\nWedding Album Collector's Edition", '$4.95', 'DC', '227,686']
['181', 'Species: Human Race', '1', '$2.95', 'Dark Horse', '17,500']
['182', 'Time Breakers', '1', '$2.25', 'DC', '17,317']
['183', 'Aztek: The Ultimate Man', '6', '$1.75', 'DC', '17,046']
['184', 'Adventures of Spider-Man', '10', '$0.99', 'Marvel', '16,981']
['185', 'Vampirella', '1', '$2.95', 'Harris', '16,775']
['186', 'Embrace: Kill Me Softly', '1', '$3.00', 'London Night', '16,721']
['187', 'Black Pearl', '3', '$2.95', 'Dark Horse', '16,097']
['188', 'Body Bags', '3', '$2.95', 'Dark Horse', '15,907']
['189', 'Seekers into the Mystery', '12', '$2.50', 'DC', '15,474']
['190', 'Warrior Nun Areala/Scorpio Rose', '2', '$2.95', 'Antarctic', '14,931']
['191', 'Poison Elves', '18', '$2.50', 'Sirius', '14,911']
['192', 'Fatale', '7', '$2.95', 'Broadway', '14,816']
['193', 'Teenage Mutant Ninja Trutles', '5', '$2.50', 'Image', '14,728']
['194', 'Mars Attacks: The Official Movie\nAdaptation', '1', '$3.95', 'Topps', '14,586']
['195', 'Cyberella', '5', '$2.25', 'DC', '14,315']
['196', 'Thrax', '1', '$2.95', 'Event', '13,983']
['197', 'Mythos: The Final Tour', '2', '$5.95', 'DC', '13,732']
['198', 'UltraForce', '14', '$1.50', 'Marvel', '13,713']
['199', 'Razor Vol. 2', '2', '$3.00', 'London Night', '13,413']
['200', 'Bionix', '2', '$2.99', 'Maximum', '13,278']
['201', 'Newmen', '24', '$2.50', 'Maximum', '12,973']
['202', 'Heretic', '1', '$2.95', 'Dark Horse', '12,959']
['203', 'Blood: A Tale', '3', '$2.95', 'DC', '12,946']
['204', 'Scare Tactics', '2', '$2.25', 'DC', '12,898']
['205', 'Labman', '1', '$3.50', 'Image', '12,729']
['206', "Edgar Rice Burroughs' Tarzan", '5', '$2.95', 'Dark Horse', '12,695']
['207', 'Ranma 1/2 Part Five', '12', '$2.95', 'Viz', '12,674']
['208', 'Gunsmith Cats: The Return of Gray', '4', '$2.95', 'Dark Horse', '12,383']
['209', 'Power Rangers Zeo/Youngblood', '2', '$2.50', 'Image', '12,349']
['210', 'Mars Attacks', '8', '$2.95', 'Topps', '12,302']
['211', 'Vermillion', '4', '$2.25', 'DC', '12,227']
['212', 'Verotika', '13', '$2.95', 'Verotik', '12,186']
['213', 'Cerebus', '212', '$2.25', 'Aardvark-Vanaheim', '11,875']
['214', 'Prime', '4', '$1.50', 'Marvel', '11,676']
['215', 'Comic Book', '1', '$5.95', 'Dark Horse', '11,604']
['216', 'Rune: Hearts of Darkness', '3', '$1.50', 'Marvel', '11,594']
['217', 'Armature', '1', '$2.95', 'Olyoptics', '11,590']
['218', 'Bone', '13', '$2.95', 'Image', '11,468']
['219', 'Kid Supreme', '7', '$2.50', 'Image', '11,414']
['220', 'Beetleborgs', '1', '$2.50', 'Image', '11,339']
['221', 'Pinky and the Brain', '7', '$1.75', 'DC', '11,041']
['222', "Harlan Ellison's Dream Corridor\nQuarterly", '2', '$5.95', 'Dark Horse', '10,946']
['223', 'Sliders Special', '2', '$3.95', 'Acclaim', '10,858']
['224', 'Footsoldiers', '1', '$2.75', 'Maximum', '10,804']
['225', 'Essential Vertigo: Swamp Thing', '3', '$1.95', 'DC', '10,594']
['226', 'Asylum', '9', '$2.99', 'Maximum', '10,533']
['227', 'Hazard', '7', '$2.25', 'Image', '10,519']
['228', 'Gemini Blood', '5', '$2.25', 'DC', '10,424']
['229', 'Traveller', '1', '$2.99', 'Maximum', '10,424']
['230', 'Vanguard: Strange Visitors', '2', '$2.95', 'Image', '10,221']
['231', 'Razor Uncut', '29', '$3.00', 'London Night', '10,194']
['232', 'Blade of the Immortal Genius', '2', '$2.95', 'Dark Horse', '9,984']
['233', 'Real Adventures of Jonny Quest', '3', '$2.95', 'Dark Horse', '9,624']
['234', 'Chronowar', '4', '$2.95', 'Dark Horse', '9,597']
['235', 'Gamera', '4', '$2.95', 'Dark Horse', '9,591']
['236', 'Power Rangers Zeo', '3', '$2.50', 'Image', '9,584']
['237', 'Johnny the Homicidal Maniac', '6', '$2.95', 'Slave Labor', '9,523']
['238', 'Hari Kari Live & Untamed', '0', '$2.95', 'Blackout', '9,421']
['239', 'Knights on Broadway', '5', '$2.95', 'Broadway', '9,306']
['240', 'Animaniacs', '21', '$1.75', 'DC', '9,272']
['241', "Mickey Spillane's Mike Danger", '8', '$2.25', 'Big', '9,231']
['242', 'Usagi Yojimbo', '7', '$2.95', 'Dark Horse', '9,157']
['243', 'Venus Domina', '2', '$4.95', 'Verotik', '9,116']
['244', "Leonard Nimoy's Primortals", '7', '$2.25', 'Big', '9,075']
['245', 'Rack & Pain: Killers', '4', '$2.95', 'Chaos', '9,048']
['246', 'Battle Angel Alita Part Seven', '2', '$2.95', 'Viz', '9,042']
['247', 'Grackle', '3', '$2.95', 'Acclaim', '8,994']
['248', 'Scud the Disposable Assassin', '14', '$2.95', 'Fireman', '8,892']
['249', 'Legend of Mother Sarah: City of the\nAngels', '2', '$3.95', 'Dark Horse', '8,798']
['250', "Neil Gaiman's Lady Justice", '8', '$2.25', 'Big', '8,737']
['251', 'Distant Soil', '17', '$2.95', 'Image', '8,479']
['252', 'Hepcats', '0', '$2.95', 'Antarctic', '8,425']
['253', 'New Bondage Fairies', '1', '$2.95', 'Fantagraphics', '8,310']
['254', 'Warrior of Waverly Street', '1', '$2.95', 'Dark Horse', '8,106']
